name,price,rating,stock,category
The Legend of Zelda: Ocarina of Time,"91,99 €",5 / 5,N/A,"Action Adventure, Fantasy"
Super Mario Galaxy,"91,99 €",5 / 5,N/A,"Action, Platformer, 3D"
Super Mario Galaxy 2,"91,99 €",5 / 5,N/A,"Action, Platformer, 3D"
Metroid Prime,"89,99 €",5 / 5,N/A,"Action, Shooter, First-Person, Sci-Fi"
Super Mario Odyssey,"89,99 €",5 / 5,N/A,"Action, Platformer, 3D"
Halo: Combat Evolved,"87,99 €",5 / 5,N/A,"Action, Shooter, First-Person, Sci-Fi"
The House in Fata Morgana - Dreams of the Revenants Edition -,"83,99 €",5 / 5,N/A,"Adventure, Visual Novel"
NFL 2K1,"62,99 €",5 / 5,N/A,"Sports, Traditional, Football, Sim"
Uncharted 2: Among Thieves,"88,99 €",5 / 5,N/A,"Action Adventure, Modern, Linear"
Tekken 3,"91,99 €",5 / 5,N/A,"Action, Fighting, 3D"
The Legend of Zelda: The Wind Waker,"90,99 €",5 / 5,In stock,"Action Adventure, Fantasy"
Gran Turismo,"86,99 €",5 / 5,Out of Stock,"Driving, Racing, GT / Street"
Metal Gear Solid 2: Sons of Liberty,"88,99 €",5 / 5,In stock,"Action Adventure, Modern"
Grand Theft Auto Double Pack,"81,99 €",5 / 5,Out of Stock,"Miscellaneous, Compilation"
Baldur's Gate II: Shadows of Amn,"91,99 €",5 / 5,In stock,"Role-Playing, PC-style RPG, Western-Style"
Tetris Effect: Connected,"88,99 €",5 / 5,Out of Stock,"Puzzle, Stacking"
The Legend of Zelda Collector's Edition,"89,99 €",5 / 5,In stock,"Action Adventure, Fantasy"
Gran Turismo 3: A-Spec,"84,99 €",5 / 5,Out of Stock,"Driving, Racing, GT / Street"
The Legend of Zelda: A Link to the Past,"90,99 €",5 / 5,In stock,"Action Adventure, Fantasy"
The Legend of Zelda: Majora's Mask,"91,99 €",5 / 5,Out of Stock,"Action Adventure, Fantasy"
The Last of Us,"92,99 €",5 / 5,In stock,"Modern, Adventure, General, Action Adventure"
Persona 5 Royal,"84,99 €",5 / 5,Out of Stock,"Role-Playing, Japanese-Style"
The Last of Us Remastered,"92,99 €",5 / 5,In stock,"Action Adventure, General, Modern"
The Legend of Zelda: Ocarina of Time 3D,"90,99 €",4 / 5,Out of Stock,"Miscellaneous, Fantasy, Compilation, Action Adventure, Open-World"
